line1,line2,diff_angle,min_endpoint_dist,shared_endpoint,relative_length,dot_product,label
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(154), np.int32(543), np.int32(407), np.int32(105))",0.07,2.0,1,0.88,1.0,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(160), np.int32(232), np.int32(333), np.int32(382))",100.85,182.41,0,0.515,-0.188,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(161), np.int32(611), np.int32(250), np.int32(592))",47.87,120.42,0,0.205,0.671,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(242), np.int32(592), np.int32(364), np.int32(568))",48.79,116.36,0,0.279,0.659,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(186), np.int32(457), np.int32(296), np.int32(540))",96.96,33.0,0,0.31,-0.121,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(164), np.int32(162), np.int32(379), np.int32(173))",62.85,74.32,0,0.484,0.456,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(292), np.int32(167), np.int32(331), np.int32(169))",62.86,100.9,0,0.088,0.456,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(208), np.int32(335), np.int32(271), np.int32(334))",59.01,156.55,0,0.142,0.515,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(163), np.int32(285), np.int32(242), np.int32(367))",105.99,135.15,0,0.256,-0.275,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(238), np.int32(456), np.int32(327), np.int32(422))",39.01,62.13,0,0.214,0.777,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(338), np.int32(388), np.int32(375), np.int32(464))",123.96,183.05,0,0.19,-0.559,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(284), np.int32(341), np.int32(343), np.int32(307))",29.97,178.34,0,0.153,0.866,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(236), np.int32(594), np.int32(358), np.int32(570))",48.79,115.39,0,0.279,0.659,0
"(np.int32(186), np.int32(490), np.int32(409), np.int32(105))","(np.int32(196), np.int32(337), np.int32(271), np.int32(335))",58.39,153.33,0,0.169,0.524,0
